Freq.	V(out)
1.57036280433354e+001	(-5.58357043029386e+000dB,2.21995308144753e+001°)
1.57398286446620e+001	(-5.57698013143060e+000dB,2.22290100529433e+001°)
1.57761126969933e+001	(-5.57037027506565e+000dB,2.22584531952815e+001°)
1.58124803927037e+001	(-5.56374084081500e+000dB,2.22878596899613e+001°)
1.58489319246110e+001	(-5.55709180621879e+000dB,2.23172290379661e+001°)
1.58854674859776e+001	(-5.55042315234572e+000dB,2.23465606964602e+001°)
1.59220872705115e+001	(-5.54373485907257e+000dB,2.23758541062989e+001°)
1.59587914723672e+001	(-5.53702690550810e+000dB,2.24051087776467e+001°)
1.59955802861465e+001	(-5.53029927143624e+000dB,2.24343241470840e+001°)
1.60324539069002e+001	(-5.52355193784366e+000dB,2.24634996725063e+001°)
1.60694125301286e+001	(-5.51678488727997e+000dB,2.24926348163357e+001°)
1.61064563517825e+001	(-5.50999810043831e+000dB,2.25217290140896e+001°)
1.61435855682647e+001	(-5.50319155564011e+000dB,2.25507817527912e+001°)
1.61808003764305e+001	(-5.49636523718468e+000dB,2.25797924695079e+001°)
1.62181009735891e+001	(-5.48951912610841e+000dB,2.26087605972652e+001°)
1.62554875575047e+001	(-5.48265320503070e+000dB,2.26376856269007e+001°)
1.62929603263970e+001	(-5.47576745566891e+000dB,2.26665669542230e+001°)
1.63305194789432e+001	(-5.46886186222869e+000dB,2.26954040398273e+001°)
1.63681652142779e+001	(-5.46193640632733e+000dB,2.27241963243760e+001°)
1.64058977319952e+001	(-5.45499107147766e+000dB,2.27529432585848e+001°)
1.64437172321491e+001	(-5.44802584222667e+000dB,2.27816442744155e+001°)
1.64816239152549e+001	(-5.44104070150147e+000dB,2.28102987954852e+001°)
1.65196179822900e+001	(-5.43403563407630e+000dB,2.28389062510406e+001°)
1.65576996346951e+001	(-5.42701062338654e+000dB,2.28674660892094e+001°)
1.65958690743754e+001	(-5.41996565590613e+000dB,2.28959777186281e+001°)
1.66341265037015e+001	(-5.41290071567127e+000dB,2.29244405946269e+001°)
1.66724721255104e+001	(-5.40581578811771e+000dB,2.29528541066141e+001°)
1.67109061431069e+001	(-5.39871085899039e+000dB,2.29812176895111e+001°)
