time	V(n001)	V(n006)
1.343368644815621e-01	-3.015378e+01	3.015378e+01
1.346681361812384e-01	-3.015474e+01	3.015474e+01
1.349792356444274e-01	-3.015750e+01	3.015750e+01
1.352922821812821e-01	-3.016013e+01	3.016013e+01
1.357756705320247e-01	-3.016132e+01	3.016132e+01
1.365582295248369e-01	-3.016135e+01	3.016135e+01
1.375347920248369e-01	-3.016135e+01	3.016135e+01
1.385113545248369e-01	-3.016135e+01	3.016135e+01
1.394879170248369e-01	-3.016135e+01	3.016135e+01
1.404644795248369e-01	-3.016135e+01	3.016135e+01
1.414410420248369e-01	-3.016135e+01	3.016135e+01
1.415631123373369e-01	-3.016135e+01	3.016135e+01
1.418072529623369e-01	-3.016135e+01	3.016135e+01
1.422955342123369e-01	-3.016135e+01	3.016135e+01
1.430818275979276e-01	-3.016135e+01	3.016135e+01
1.440583900979276e-01	-3.016135e+01	3.016135e+01
1.443951885740722e-01	-3.016139e+01	3.016139e+01
1.447384044312909e-01	-3.016171e+01	3.016171e+01
1.452025848167798e-01	-3.016263e+01	3.016263e+01
1.452559850519034e-01	-3.016271e+01	3.016271e+01
1.453627855221508e-01	-3.016276e+01	3.016276e+01
1.455763864626455e-01	-3.016278e+01	3.016278e+01
1.460035883436349e-01	-3.016278e+01	3.016278e+01
1.468579921056138e-01	-3.016278e+01	3.016278e+01
1.478345546056138e-01	-3.016278e+01	3.016278e+01
1.488111171056138e-01	-3.016278e+01	3.016278e+01
1.497876796056138e-01	-3.016278e+01	3.016278e+01
1.507642421056138e-01	-3.016278e+01	3.016278e+01
1.517408046056138e-01	-3.016278e+01	3.016278e+01
1.527173671056138e-01	-3.016278e+01	3.016278e+01
1.536939296056138e-01	-3.016278e+01	3.016278e+01
1.542005959547142e-01	-3.016278e+01	3.016278e+01
1.545020957289439e-01	-3.016326e+01	3.016326e+01
1.548681170427347e-01	-3.016494e+01	3.016494e+01
1.552509578427338e-01	-3.016671e+01	3.016671e+01
1.557084760021730e-01	-3.016749e+01	3.016749e+01
1.564499583028976e-01	-3.016757e+01	3.016757e+01
1.574265208028976e-01	-3.016757e+01	3.016757e+01
1.584030833028976e-01	-3.016757e+01	3.016757e+01
1.593796458028976e-01	-3.016757e+01	3.016757e+01
1.603562083028976e-01	-3.016757e+01	3.016757e+01
1.613327708028976e-01	-3.016757e+01	3.016757e+01
1.623093333028976e-01	-3.016757e+01	3.016757e+01
1.632858958028976e-01	-3.016757e+01	3.016757e+01
1.633808052617463e-01	-3.016757e+01	3.016757e+01
1.635706241794437e-01	-3.016757e+01	3.016757e+01
1.639502620148385e-01	-3.016757e+01	3.016757e+01
1.644325116967021e-01	-3.016771e+01	3.016771e+01
1.647872874717922e-01	-3.016816e+01	3.016816e+01
1.652208392436499e-01	-3.016896e+01	3.016896e+01
1.656594853436540e-01	-3.016943e+01	3.016943e+01
1.663708941139471e-01	-3.016957e+01	3.016957e+01
1.673474566139471e-01	-3.016957e+01	3.016957e+01
1.683240191139471e-01	-3.016957e+01	3.016957e+01
1.693005816139471e-01	-3.016957e+01	3.016957e+01
1.702771441139471e-01	-3.016957e+01	3.016957e+01
1.712537066139471e-01	-3.016957e+01	3.016957e+01
1.722302691139471e-01	-3.016957e+01	3.016957e+01
1.732068316139471e-01	-3.016957e+01	3.016957e+01
1.740143105634692e-01	-3.016957e+01	3.016957e+01
1.743621921398537e-01	-3.016958e+01	3.016958e+01
1.746986045122891e-01	-3.017027e+01	3.017027e+01
1.750717670788326e-01	-3.017244e+01	3.017244e+01
1.754168558440968e-01	-3.017424e+01	3.017424e+01
1.759780260748655e-01	-3.017504e+01	3.017504e+01
1.768829145614796e-01	-3.017504e+01	3.017504e+01
1.778594770614796e-01	-3.017504e+01	3.017504e+01
1.788360395614796e-01	-3.017504e+01	3.017504e+01
1.798126020614796e-01	-3.017504e+01	3.017504e+01
1.807891645614796e-01	-3.017504e+01	3.017504e+01
1.817657270614796e-01	-3.017504e+01	3.017504e+01
1.827422895614796e-01	-3.017504e+01	3.017504e+01
1.837188520614796e-01	-3.017504e+01	3.017504e+01
1.842099368213294e-01	-3.017504e+01	3.017504e+01
1.845107328026417e-01	-3.017542e+01	3.017542e+01
